iteration;version;taille;conf;grain;temps;
1;local;512;guns;8;8.578
1;local;512;guns;16;8.586
1;local;512;guns;32;8.593
1;local;512;guns;64;8.599
1;local;512;random;8;8.580
1;local;512;random;16;8.590
1;local;512;random;32;8.606
1;local;512;random;64;8.582
1;local;1024;guns;8;31.768
1;local;1024;guns;16;31.807
1;local;1024;guns;32;32.053
1;local;1024;guns;64;31.823
1;local;1024;random;8;31.801
1;local;1024;random;16;31.812
1;local;1024;random;32;31.816
1;local;1024;random;64;31.819
1;local;2048;guns;8;122.485
1;local;2048;guns;16;94.385
1;local;2048;guns;32;97.904
1;local;2048;guns;64;94.558
1;local;2048;random;8;94.598
1;local;2048;random;16;94.446
1;local;2048;random;32;94.683
1;local;2048;random;64;94.899
1;local;4096;guns;8;373.613
1;local;4096;guns;16;373.336
1;local;4096;guns;32;373.581
1;local;4096;guns;64;373.531
1;local;4096;random;8;374.000
1;local;4096;random;16;373.291
1;local;4096;random;32;374.479
1;local;4096;random;64;373.649
2;local;512;guns;8;6.528
2;local;512;guns;16;6.523
2;local;512;guns;32;6.874
2;local;512;guns;64;6.528
2;local;512;random;8;6.519
2;local;512;random;16;6.531
2;local;512;random;32;6.516
2;local;512;random;64;6.534
2;local;1024;guns;8;29.601
2;local;1024;guns;16;31.815
2;local;1024;guns;32;31.807
2;local;1024;guns;64;31.809
2;local;1024;random;8;31.820
2;local;1024;random;16;31.826
2;local;1024;random;32;31.822
2;local;1024;random;64;31.816
2;local;2048;guns;8;122.517
2;local;2048;guns;16;94.654
2;local;2048;guns;32;94.675
2;local;2048;guns;64;94.665
2;local;2048;random;8;94.661
2;local;2048;random;16;94.883
2;local;2048;random;32;94.679
2;local;2048;random;64;94.658
2;local;4096;guns;8;373.385
2;local;4096;guns;16;376.528
2;local;4096;guns;32;376.054
2;local;4096;guns;64;376.066
2;local;4096;random;8;376.631
2;local;4096;random;16;412.687
2;local;4096;random;32;375.945
2;local;4096;random;64;375.958
3;local;512;guns;8;6.578
3;local;512;guns;16;6.708
3;local;512;guns;32;6.828
3;local;512;guns;64;6.801
3;local;512;random;8;6.595
3;local;512;random;16;6.754
3;local;512;random;32;6.790
3;local;512;random;64;6.737
3;local;1024;guns;8;25.535
3;local;1024;guns;16;31.815
3;local;1024;guns;32;32.341
3;local;1024;guns;64;32.247
3;local;1024;random;8;32.091
3;local;1024;random;16;35.149
3;local;1024;random;32;33.972
3;local;1024;random;64;31.838
3;local;2048;guns;8;128.836
3;local;2048;guns;16;95.090
3;local;2048;guns;32;94.702
3;local;2048;guns;64;94.691
3;local;2048;random;8;95.096
3;local;2048;random;16;95.615
3;local;2048;random;32;95.437
3;local;2048;random;64;96.035
3;local;4096;guns;8;375.863
3;local;4096;guns;16;377.951
3;local;4096;guns;32;375.914
3;local;4096;guns;64;377.142
3;local;4096;random;8;375.932
3;local;4096;random;16;375.954
3;local;4096;random;32;375.893
3;local;4096;random;64;379.108
4;local;512;guns;8;6.583
4;local;512;guns;16;6.584
4;local;512;guns;32;6.592
4;local;512;guns;64;6.601
4;local;512;random;8;6.582
4;local;512;random;16;6.801
4;local;512;random;32;6.596
4;local;512;random;64;6.602
4;local;1024;guns;8;24.903
4;local;1024;guns;16;31.820
4;local;1024;guns;32;31.822
4;local;1024;guns;64;31.839
4;local;1024;random;8;31.838
4;local;1024;random;16;31.836
4;local;1024;random;32;31.863
4;local;1024;random;64;31.829
4;local;2048;guns;8;130.359
4;local;2048;guns;16;103.569
4;local;2048;guns;32;95.418
4;local;2048;guns;64;95.427
4;local;2048;random;8;95.418
4;local;2048;random;16;95.412
4;local;2048;random;32;95.436
4;local;2048;random;64;95.445
4;local;4096;guns;8;375.887
4;local;4096;guns;16;375.599
4;local;4096;guns;32;376.385
4;local;4096;guns;64;376.389
4;local;4096;random;8;378.720
4;local;4096;random;16;377.899
4;local;4096;random;32;377.849
4;local;4096;random;64;377.922
5;local;512;guns;8;6.573
5;local;512;guns;16;6.571
5;local;512;guns;32;6.580
5;local;512;guns;64;6.588
5;local;512;random;8;6.568
5;local;512;random;16;6.571
5;local;512;random;32;6.579
5;local;512;random;64;6.592
5;local;1024;guns;8;24.840
5;local;1024;guns;16;31.815
5;local;1024;guns;32;31.826
5;local;1024;guns;64;31.821
5;local;1024;random;8;31.841
5;local;1024;random;16;31.833
5;local;1024;random;32;31.842
5;local;1024;random;64;31.851
5;local;2048;guns;8;122.591
5;local;2048;guns;16;112.588
5;local;2048;guns;32;95.410
5;local;2048;guns;64;95.404
5;local;2048;random;8;95.434
5;local;2048;random;16;104.909
5;local;2048;random;32;103.178
5;local;2048;random;64;97.099
5;local;4096;guns;8;414.352
5;local;4096;guns;16;376.067
5;local;4096;guns;32;375.993
5;local;4096;guns;64;399.920
5;local;4096;random;8;378.001
5;local;4096;random;16;401.416
5;local;4096;random;32;378.204
5;local;4096;random;64;406.925
